Sample in Buffer,Sample in Window,TRIGGER,DAC_I[11:0],DAC_Q[11:0],tx_serial,I_16M[15:0],Q_16M[15:0],error_tdata[15:0],feedback_tdata[15:0],I_1M[15:0],Q_1M[15:0],clk_1M_out,gardner_error[15:0],gardner_increment[15:0],BPSK_raw,QPSK_raw[1:0],SD_flag,PD_flag,BD_flag,rx_data_tlast,BPSK,QPSK[1:0],rx_serial,Rx_valid,ADC_I[11:0],ADC_Q[11:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,HEX,SIGNED,SIGNED,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED,SIGNED
0,0,0,2046,2,0,-1841,-1325,-9,0,064d,04f4,0,49,8193,0,00,1,1,1,0,0,0,1,0,-1313,-40
1,1,0,-2,2046,0,-1940,-1252,14,0,064d,04f4,0,15,8193,0,00,1,1,1,0,0,0,1,0,-1505,-793
2,2,0,-2,2046,0,-1940,-1252,14,0,064d,04f4,0,-23,8193,0,00,1,1,1,0,0,0,1,0,-1506,-1503
3,3,0,-2046,-2,0,-2014,-1209,24,1,064d,04f4,0,-47,8193,0,00,1,1,1,0,0,0,1,0,924,-446
4,4,0,-2046,-2,0,-2014,-1209,24,1,064d,04f4,0,6,8193,0,00,1,1,1,0,0,0,1,0,2047,768
5,5,0,2,-2046,0,-1869,-1354,33,2,064d,04f4,0,-8,8193,0,00,1,1,1,0,0,0,1,0,1480,1167
6,6,0,2,-2046,0,-1869,-1354,33,2,064d,04f4,0,-18,8193,0,00,1,1,1,0,0,0,1,0,54,734
7,7,0,2046,2,0,-1912,-1368,39,5,064d,04f4,0,-24,8193,0,00,1,1,1,0,0,0,1,0,54,734
8,8,0,2046,2,0,-1912,-1368,39,5,064d,04f4,0,-23,8193,0,00,1,1,1,0,0,0,1,0,-744,100
9,9,0,-2,2046,0,-1773,-1261,25,7,064d,04f4,0,-19,8193,0,00,1,1,1,0,0,0,1,0,-1444,-104
10,10,0,-2,2046,0,-1773,-1261,25,7,064d,04f4,0,-14,8193,0,00,1,1,1,0,0,0,1,0,-1275,-649
11,11,0,-2046,-2,0,-1587,-1193,27,10,064d,04f4,0,-6,8193,0,00,1,1,1,0,0,0,1,0,809,-449
12,12,0,-2046,-2,0,-1587,-1193,27,10,064d,04f4,0,5,8193,0,00,1,1,1,0,0,0,1,0,2047,612
13,13,0,2,-2046,0,-1623,-953,23,13,064d,04f4,0,-36,8193,0,00,1,1,1,0,0,0,1,0,1409,1224
14,14,0,2,-2046,0,-1623,-953,23,13,064d,04f4,0,2,8193,0,00,1,1,1,0,0,0,1,0,124,763
15,15,0,2046,2,0,-1212,-599,16,14,064d,04f4,0,32,8193,0,00,1,1,1,0,0,0,1,0,-770,36
16,16,0,2046,2,0,-1212,-599,16,14,064d,04f4,0,-12,8193,0,00,1,1,1,0,0,0,1,0,-1358,-22
17,17,0,-2,2046,0,-1067,-332,26,15,064d,04f4,0,-45,8193,0,00,1,1,1,0,0,0,1,0,-1504,-789
18,18,0,-2,2046,0,-1067,-332,26,15,064d,04f4,0,-3,8193,0,00,1,1,1,0,0,0,1,0,-1429,-1516
19,19,0,-2046,-2,0,-410,457,16,14,064d,04f4,0,20,8193,0,00,1,1,1,0,0,0,1,0,863,-454
20,20,0,-2046,-2,0,-410,457,16,14,064d,04f4,0,-35,8193,0,00,1,1,1,0,0,0,1,0,2047,742
21,21,0,2,-2046,0,36,676,15,11,064d,04f4,0,-28,8193,0,00,1,1,1,0,0,0,1,0,1455,1178
22,22,0,2,-2046,0,36,676,15,11,064d,04f4,0,-18,8193,0,00,1,1,1,0,0,0,1,0,46,732
23,23,0,2046,2,0,523,1363,-1,8,064d,04f4,0,-8,8193,0,00,1,1,1,0,0,0,1,0,46,732
24,24,0,2046,2,0,523,1363,-1,8,064d,04f4,0,-1,8193,0,00,1,1,1,0,0,0,1,0,-712,60
25,25,0,-2,2046,0,1033,1493,-7,5,fa0f,fc9f,1,-3,8193,0,00,1,1,1,0,0,0,0,1,-1448,-90
26,26,0,-2,2046,0,1033,1493,-7,5,fa0f,fc9f,0,-13,8191,1,11,1,1,1,0,1,3,0,0,-1289,-652
27,27,0,-2046,-2,0,1351,1788,-25,1,fa0f,fc9f,0,40,8191,1,11,1,1,1,0,1,3,0,0,771,-462
28,28,0,-2046,-2,0,1351,1788,-25,1,fa0f,fc9f,0,31,8191,1,11,1,1,1,0,1,3,0,0,2047,601
29,29,0,2,-2046,0,1595,1912,-18,-2,fa0f,fc9f,0,12,8191,1,11,1,1,1,0,1,3,0,0,1451,1201
30,30,0,2,-2046,0,1595,1912,-18,-2,fa0f,fc9f,0,-23,8191,1,11,1,1,1,0,1,3,0,0,92,741
31,31,0,-2046,-2,0,1755,2198,-21,-6,fa0f,fc9f,0,15,8191,1,11,1,1,1,0,1,3,0,0,-747,72
32,32,0,-2046,-2,0,1755,2198,-21,-6,fa0f,fc9f,0,-2,8191,1,11,1,1,1,0,1,3,0,0,-1389,-36
33,33,0,2,-2046,0,1833,2244,-17,-9,fa0f,fc9f,0,-30,8191,1,11,1,1,1,0,1,3,0,0,-1417,-813
34,34,0,2,-2046,0,1833,2244,-17,-9,fa0f,fc9f,0,1,8191,1,11,1,1,1,0,1,3,0,0,-1633,-1575
35,35,0,2046,2,0,1896,2220,-27,-12,fa0f,fc9f,0,41,8191,1,11,1,1,1,0,1,3,0,0,-1553,-451
36,36,0,2046,2,0,1896,2220,-27,-12,fa0f,fc9f,0,32,8191,1,11,1,1,1,0,1,3,0,0,-1102,414
37,37,0,-2,2046,0,1871,2228,-26,-14,fa0f,fc9f,0,24,8191,1,11,1,1,1,0,1,3,0,0,-1511,-732
38,38,0,-2,2046,0,1871,2228,-26,-14,fa0f,fc9f,0,16,8191,1,11,1,1,1,0,1,3,0,0,-1323,-1653
39,39,0,-2046,-2,0,1716,2102,-21,-15,fa0f,fc9f,0,6,8191,1,11,1,1,1,0,1,3,0,0,-1323,-1653
40,40,0,-2046,-2,0,1716,2102,-21,-15,fa0f,fc9f,0,2,8191,1,11,1,1,1,0,1,3,0,0,778,-441
41,41,0,2,-2046,0,1736,2053,-23,-15,fa0f,fc9f,0,6,8191,1,11,1,1,1,0,1,3,0,0,2047,777
42,42,0,2,-2046,0,1736,2053,-23,-15,fa0f,fc9f,0,20,8191,1,11,1,1,1,0,1,3,0,0,1305,1186
43,43,0,2046,2,0,1777,1778,-23,-13,fa0f,fc9f,0,-31,8191,1,11,1,1,1,0,1,3,0,0,-873,747
44,44,0,2046,2,0,1777,1778,-23,-13,fa0f,fc9f,0,-21,8191,1,11,1,1,1,0,1,3,0,0,-1515,-61
45,45,0,-2,2046,0,1654,1350,-19,-11,fa0f,fc9f,0,3,8191,1,11,1,1,1,0,1,3,0,0,-1506,-950
46,46,0,-2,2046,0,1654,1350,-19,-11,fa0f,fc9f,0,42,8191,1,11,1,1,1,0,1,3,0,0,-1308,-1458
47,47,0,-2046,-2,0,1508,1045,-1,-8,fa0f,fc9f,0,8,8191,1,11,1,1,1,0,1,3,0,0,755,-411
48,48,0,-2046,-2,0,1508,1045,-1,-8,fa0f,fc9f,0,-36,8191,1,11,1,1,1,0,1,3,0,0,2047,724
49,49,0,2,-2046,0,1363,766,13,-4,fa0f,fc9f,0,-10,8191,1,11,1,1,1,0,1,3,0,0,1460,1167
50,50,0,2,-2046,0,1363,766,13,-4,fa0f,fc9f,0,21,8191,1,11,1,1,1,0,1,3,0,0,63,746
51,51,0,2046,2,0,766,-77,18,-2,fa0f,fc9f,0,-21,8191,1,11,1,1,1,0,1,3,0,0,-781,76
52,52,0,2046,2,0,766,-77,18,-2,fa0f,fc9f,0,-4,8191,1,11,1,1,1,0,1,3,0,0,-1360,-13
53,53,0,-2,2046,0,441,-431,19,0,fa0f,fc9f,0,7,8191,1,11,1,1,1,0,1,3,0,0,-1525,-841
54,54,0,-2,2046,0,441,-431,19,0,fa0f,fc9f,0,15,8191,1,11,1,1,1,0,1,3,0,0,-1311,-1548
55,55,0,-2046,-2,0,-341,-1169,8,1,fa0f,fc9f,0,21,8191,1,11,1,1,1,0,1,3,0,0,-1311,-1548
56,56,0,-2046,-2,0,-341,-1169,8,1,fa0f,fc9f,0,18,8191,1,11,1,1,1,0,1,3,0,0,798,-425
57,57,0,2,-2046,0,-758,-1089,0,1,0651,04f9,1,13,8191,1,11,1,1,1,0,1,3,1,1,2047,723
58,58,0,2,-2046,0,-758,-1089,0,1,0651,04f9,0,5,8193,0,00,1,1,1,0,0,0,1,0,1299,1168
59,59,0,2046,2,0,-1263,-1607,-20,1,0651,04f9,0,-6,8193,0,00,1,1,1,0,0,0,1,0,-842,739
60,60,0,2046,2,0,-1263,-1607,-20,1,0651,04f9,0,-16,8193,0,00,1,1,1,0,0,0,1,0,-1521,-33
61,61,0,-2,2046,0,-1569,-1416,-10,0,0651,04f9,0,19,8193,0,00,1,1,1,0,0,0,1,0,-1517,-950
62,62,0,-2,2046,0,-1569,-1416,-10,0,0651,04f9,0,-27,8193,0,00,1,1,1,0,0,0,1,0,-1346,-1482
63,63,0,2046,2,0,-1875,-1491,-16,0,0651,04f9,0,5,8193,0,00,1,1,1,0,0,0,1,0,832,-444
64,64,0,2046,2,0,-1875,-1491,-16,0,0651,04f9,0,49,8193,0,00,1,1,1,0,0,0,1,0,2047,720
65,65,0,-2,2046,0,-1835,-1084,6,0,0651,04f9,0,15,8193,0,00,1,1,1,0,0,0,1,0,1475,1214
66,66,0,-2,2046,0,-1835,-1084,6,0,0651,04f9,0,-23,8193,0,00,1,1,1,0,0,0,1,0,376,624
67,67,0,-2046,-2,0,-1942,-1215,19,1,0651,04f9,0,-45,8193,0,00,1,1,1,0,0,0,1,0,1411,-905
68,68,0,-2046,-2,0,-1942,-1215,19,1,0651,04f9,0,4,8193,0,00,1,1,1,0,0,0,1,0,2047,-546
69,69,0,2,-2046,0,-1617,-931,33,2,0651,04f9,0,-11,8193,0,00,1,1,1,0,0,0,1,0,1396,1157
70,70,0,2,-2046,0,-1617,-931,33,2,0651,04f9,0,-27,8193,0,00,1,1,1,0,0,0,1,0,113,962
71,71,0,2046,2,0,-1696,-1166,35,5,0651,04f9,0,-33,8193,0,00,1,1,1,0,0,0,1,0,113,962
72,72,0,2046,2,0,-1696,-1166,35,5,0651,04f9,0,-24,8193,0,00,1,1,1,0,0,0,1,0,-722,35
73,73,0,-2,2046,0,-1444,-740,26,8,0651,04f9,0,-19,8193,0,00,1,1,1,0,0,0,1,0,-1432,-113
74,74,0,-2,2046,0,-1444,-740,26,8,0651,04f9,0,-18,8193,0,00,1,1,1,0,0,0,1,0,-1295,-650
75,75,0,-2046,-2,0,-1392,-1083,23,11,0651,04f9,0,-8,8193,0,00,1,1,1,0,0,0,1,0,798,-454
76,76,0,-2046,-2,0,-1392,-1083,23,11,0651,04f9,0,6,8193,0,00,1,1,1,0,0,0,1,0,2047,615
77,77,0,2,-2046,0,-1328,-878,23,13,0651,04f9,0,-34,8193,0,00,1,1,1,0,0,0,1,0,1413,1225
78,78,0,2,-2046,0,-1328,-878,23,13,0651,04f9,0,4,8193,0,00,1,1,1,0,0,0,1,0,117,740
79,79,0,2046,2,0,-1361,-1045,11,15,0651,04f9,0,32,8193,0,00,1,1,1,0,0,0,1,0,-755,47
80,80,0,2046,2,0,-1361,-1045,11,15,0651,04f9,0,-13,8193,0,00,1,1,1,0,0,0,1,0,-1335,-32
81,81,0,-2,2046,0,-1507,-983,15,15,0651,04f9,0,17,8193,0,00,1,1,1,0,0,0,1,0,-1479,-796
82,82,0,-2,2046,0,-1507,-983,15,15,0651,04f9,0,-8,8193,0,00,1,1,1,0,0,0,1,0,-1525,-1522
83,83,0,-2046,-2,0,-1430,-1001,11,14,0651,04f9,0,12,8193,0,00,1,1,1,0,0,0,1,0,927,-443
84,84,0,-2046,-2,0,-1430,-1001,11,14,0651,04f9,0,-47,8193,0,00,1,1,1,0,0,0,1,0,2047,735
85,85,0,2,-2046,0,-1432,-991,19,12,0651,04f9,0,-33,8193,0,00,1,1,1,0,0,0,1,0,1445,1216
86,86,0,2,-2046,0,-1432,-991,19,12,0651,04f9,0,-11,8193,0,00,1,1,1,0,0,0,1,0,54,732
87,87,0,2046,2,0,-1579,-1080,15,9,0651,04f9,0,1,8193,0,00,1,1,1,0,0,0,1,0,54,732
88,88,0,2046,2,0,-1579,-1080,15,9,0651,04f9,0,-8,8193,0,00,1,1,1,0,0,0,1,0,-683,50
89,89,0,-2,2046,0,-1508,-1020,16,5,fac7,fc68,1,-8,8193,0,00,1,1,1,0,0,0,0,1,-1405,-64
90,90,0,-2,2046,0,-1508,-1020,16,5,fac7,fc68,0,-1,8191,1,11,1,1,1,0,1,3,0,0,-1314,-662
91,91,0,-2046,-2,0,-1279,-777,20,1,fac7,fc68,0,-5,8191,1,11,1,1,1,0,1,3,0,0,784,-439
92,92,0,-2046,-2,0,-1279,-777,20,1,fac7,fc68,0,-16,8191,1,11,1,1,1,0,1,3,0,0,2047,616
93,93,0,2,-2046,0,-1577,-1091,18,-2,fac7,fc68,0,38,8191,1,11,1,1,1,0,1,3,0,0,1472,1203
94,94,0,2,-2046,0,-1577,-1091,18,-2,fac7,fc68,0,25,8191,1,11,1,1,1,0,1,3,0,0,77,739
95,95,0,-2046,-2,0,-1422,-807,15,-6,fac7,fc68,0,9,8191,1,11,1,1,1,0,1,3,0,0,-771,80
96,96,0,-2046,-2,0,-1422,-807,15,-6,fac7,fc68,0,-4,8191,1,11,1,1,1,0,1,3,0,0,-1391,-30
97,97,0,2,-2046,0,-1538,-1165,19,-9,fac7,fc68,0,-18,8191,1,11,1,1,1,0,1,3,0,0,-1467,-832
98,98,0,2,-2046,0,-1538,-1165,19,-9,fac7,fc68,0,-27,8191,1,11,1,1,1,0,1,3,0,0,-1632,-1526
99,99,0,2046,2,0,-1448,-1047,20,-12,fac7,fc68,0,26,8191,1,11,1,1,1,0,1,3,0,0,-1444,-447
100,100,0,2046,2,0,-1448,-1047,20,-12,fac7,fc68,0,18,8191,1,11,1,1,1,0,1,3,0,0,-1213,437
101,101,0,-2,2046,0,-1633,-1452,15,-14,fac7,fc68,0,7,8191,1,11,1,1,1,0,1,3,0,0,-1462,-710
102,102,0,-2,2046,0,-1633,-1452,15,-14,fac7,fc68,0,-6,8191,1,11,1,1,1,0,1,3,0,0,-1358,-1653
103,103,0,-2046,-2,0,-1750,-1304,15,-15,fac7,fc68,0,-11,8191,1,11,1,1,1,0,1,3,0,0,-1358,-1653
104,104,0,-2046,-2,0,-1750,-1304,15,-15,fac7,fc68,0,-7,8191,1,11,1,1,1,0,1,3,0,0,819,-470
105,105,0,2,-2046,0,-1846,-1534,8,-15,fac7,fc68,0,-9,8191,1,11,1,1,1,0,1,3,0,0,2047,794
106,106,0,2,-2046,0,-1846,-1534,8,-15,fac7,fc68,0,-18,8191,1,11,1,1,1,0,1,3,0,0,1271,1172
107,107,0,2046,2,0,-1639,-1162,20,-13,fac7,fc68,0,-18,8191,1,11,1,1,1,0,1,3,0,0,-875,725
108,108,0,2046,2,0,-1639,-1162,20,-13,fac7,fc68,0,-10,8191,1,11,1,1,1,0,1,3,0,0,-1458,-57
109,109,0,-2,2046,0,-1789,-1207,16,-11,fac7,fc68,0,-9,8191,1,11,1,1,1,0,1,3,0,0,-1507,-955
110,110,0,-2,2046,0,-1789,-1207,16,-11,fac7,fc68,0,-12,8191,1,11,1,1,1,0,1,3,0,0,-1376,-1488
111,111,0,-2046,-2,0,-1363,-511,20,-8,fac7,fc68,0,-9,8191,1,11,1,1,1,0,1,3,0,0,845,-416
112,112,0,-2046,-2,0,-1363,-511,20,-8,fac7,fc68,0,2,8191,1,11,1,1,1,0,1,3,0,0,2047,749
113,113,0,2,-2046,0,-1057,-315,26,-4,fac7,fc68,0,6,8191,1,11,1,1,1,0,1,3,0,0,1456,1166
114,114,0,2,-2046,0,-1057,-315,26,-4,fac7,fc68,0,3,8191,1,11,1,1,1,0,1,3,0,0,67,751
115,115,0,2046,2,0,-411,441,24,-2,fac7,fc68,0,8,8191,1,11,1,1,1,0,1,3,0,0,-773,73
116,116,0,2046,2,0,-411,441,24,-2,fac7,fc68,0,17,8191,1,11,1,1,1,0,1,3,0,0,-1347,-35
117,117,0,-2,2046,0,17,673,15,0,fac7,fc68,0,17,8191,1,11,1,1,1,0,1,3,0,0,-1533,-842
118,118,0,-2,2046,0,17,673,15,0,fac7,fc68,0,9,8191,1,11,1,1,1,0,1,3,0,0,-1329,-1499
119,119,0,-2046,-2,0,513,1370,-1,1,fac7,fc68,0,7,8191,1,11,1,1,1,0,1,3,0,0,-1329,-1499
120,120,0,-2046,-2,0,513,1370,-1,1,fac7,fc68,0,13,8191,1,11,1,1,1,0,1,3,0,0,810,-442
121,121,0,2,-2046,0,1022,1501,-7,2,f96d,fbf7,1,10,8191,1,11,1,1,1,0,1,3,1,1,2047,776
122,122,0,2,-2046,0,1022,1501,-7,2,f96d,fbf7,0,-4,8193,1,11,1,1,1,0,1,3,1,0,1372,1187
123,123,0,2046,2,0,1337,1799,-25,1,f96d,fbf7,0,-10,8193,1,11,1,1,1,0,1,3,1,0,-921,728
124,124,0,2046,2,0,1337,1799,-25,1,f96d,fbf7,0,-19,8193,1,11,1,1,1,0,1,3,1,0,-1465,-50
125,125,0,-2,2046,0,1575,1928,-19,0,f96d,fbf7,0,-31,8193,1,11,1,1,1,0,1,3,1,0,-1524,-920
126,126,0,-2,2046,0,1575,1928,-19,0,f96d,fbf7,0,-41,8193,1,11,1,1,1,0,1,3,1,0,-1349,-1490
127,127,0,2046,2,0,1725,2210,-23,0,f96d,fbf7,0,-53,8193,1,11,1,1,1,0,1,3,1,0,814,-439
128,128,0,2046,2,0,1725,2210,-23,0,f96d,fbf7,0,62,8193,1,11,1,1,1,0,1,3,1,0,2047,741
129,129,0,-2,2046,0,1795,2264,-19,-1,f96d,fbf7,0,46,8193,1,11,1,1,1,0,1,3,1,0,1438,1196
130,130,0,-2,2046,0,1795,2264,-19,-1,f96d,fbf7,0,29,8193,1,11,1,1,1,0,1,3,1,0,387,649
131,131,0,-2046,-2,0,1865,2244,-30,0,f96d,fbf7,0,16,8193,1,11,1,1,1,0,1,3,1,0,1468,-608
132,132,0,-2046,-2,0,1865,2244,-30,0,f96d,fbf7,0,5,8193,1,11,1,1,1,0,1,3,1,0,2047,-338
133,133,0,2,-2046,0,1839,2247,-30,2,f96d,fbf7,0,2,8193,1,11,1,1,1,0,1,3,1,0,1375,1132
134,134,0,2,-2046,0,1839,2247,-30,2,f96d,fbf7,0,11,8193,1,11,1,1,1,0,1,3,1,0,122,952
135,135,0,2046,2,0,1686,2121,-24,4,f96d,fbf7,0,8,8193,1,11,1,1,1,0,1,3,1,0,122,952
136,136,0,2046,2,0,1686,2121,-24,4,f96d,fbf7,0,-6,8193,1,11,1,1,1,0,1,3,1,0,-745,63
137,137,0,-2,2046,0,1712,2070,-26,6,f96d,fbf7,0,-3,8193,1,11,1,1,1,0,1,3,1,0,-1453,-93
138,138,0,-2,2046,0,1712,2070,-26,6,f96d,fbf7,0,-39,8193,1,11,1,1,1,0,1,3,1,0,-1279,-629
139,139,0,-2046,-2,0,1756,1784,-26,9,f96d,fbf7,0,-22,8193,1,11,1,1,1,0,1,3,1,0,810,-456
140,140,0,-2046,-2,0,1756,1784,-26,9,f96d,fbf7,0,-12,8193,1,11,1,1,1,0,1,3,1,0,2047,605
141,141,0,2,-2046,0,1629,1349,-21,10,f96d,fbf7,0,11,8193,1,11,1,1,1,0,1,3,1,0,1470,1233
142,142,0,2,-2046,0,1629,1349,-21,10,f96d,fbf7,0,-17,8193,1,11,1,1,1,0,1,3,1,0,89,748
143,143,0,2046,2,0,1492,1038,-2,11,f96d,fbf7,0,9,8193,1,11,1,1,1,0,1,3,1,0,-753,32
144,144,0,2046,2,0,1492,1038,-2,11,f96d,fbf7,0,-35,8193,1,11,1,1,1,0,1,3,1,0,-1353,-11
145,145,0,-2,2046,0,1356,765,12,12,f96d,fbf7,0,-10,8193,1,11,1,1,1,0,1,3,1,0,-1526,-786
146,146,0,-2,2046,0,1356,765,12,12,f96d,fbf7,0,19,8193,1,11,1,1,1,0,1,3,1,0,-1386,-1541
147,147,0,-2046,-2,0,766,-81,17,11,f96d,fbf7,0,-22,8193,1,11,1,1,1,0,1,3,1,0,863,-426
148,148,0,-2046,-2,0,766,-81,17,11,f96d,fbf7,0,0,8193,1,11,1,1,1,0,1,3,1,0,2047,741
149,149,0,2,-2046,0,443,-437,19,10,f96d,fbf7,0,14,8193,1,11,1,1,1,0,1,3,1,0,1406,1183
150,150,0,2,-2046,0,443,-437,19,10,f96d,fbf7,0,18,8193,1,11,1,1,1,0,1,3,1,0,91,737
151,151,0,2046,2,0,-337,-1181,8,8,f96d,fbf7,0,24,8193,1,11,1,1,1,0,1,3,1,0,91,737
152,152,0,2046,2,0,-337,-1181,8,8,f96d,fbf7,0,25,8193,1,11,1,1,1,0,1,3,1,0,-733,83
153,153,0,-2,2046,0,-732,-1118,0,7,063a,04f7,1,22,8193,1,11,1,1,1,0,1,3,1,1,-1439,-51
154,154,0,-2,2046,0,-732,-1118,0,7,063a,04f7,0,5,8194,0,00,1,1,1,0,0,0,1,0,-1318,-592
155,155,0,-2046,-2,0,-1087,-1328,-20,6,063a,04f7,0,-6,8194,0,00,1,1,1,0,0,0,1,0,821,-448
156,156,0,-2046,-2,0,-1087,-1328,-20,6,063a,04f7,0,-20,8194,0,00,1,1,1,0,0,0,1,0,2047,575
157,157,0,2,-2046,0,-1669,-1356,-11,6,063a,04f7,0,14,8194,0,00,1,1,1,0,0,0,1,0,1476,1226
158,158,0,2,-2046,0,-1669,-1356,-11,6,063a,04f7,0,-26,8194,0,00,1,1,1,0,0,0,1,0,102,762
159,159,0,-2046,-2,0,-1832,-1318,-9,6,063a,04f7,0,5,8194,0,00,1,1,1,0,0,0,1,0,-783,48
160,160,0,-2046,-2,0,-1832,-1318,-9,6,063a,04f7,0,49,8194,0,00,1,1,1,0,0,0,1,0,-1359,-25
161,161,0,2,-2046,0,-1926,-1252,14,6,063a,04f7,0,15,8194,0,00,1,1,1,0,0,0,1,0,-1443,-804
162,162,0,2,-2046,0,-1926,-1252,14,6,063a,04f7,0,-24,8194,0,00,1,1,1,0,0,0,1,0,-1645,-1567
163,163,0,2046,2,0,-2011,-1215,24,7,063a,04f7,0,-48,8194,0,00,1,1,1,0,0,0,1,0,-1457,-454
164,164,0,2046,2,0,-2011,-1215,24,7,063a,04f7,0,7,8194,0,00,1,1,1,0,0,0,1,0,-1185,463
165,165,0,-2,2046,0,-1868,-1360,32,7,063a,04f7,0,-7,8194,0,00,1,1,1,0,0,0,1,0,-1470,-716
166,166,0,-2,2046,0,-1868,-1360,32,7,063a,04f7,0,-16,8194,0,00,1,1,1,0,0,0,1,0,-1386,-1651
167,167,0,-2046,-2,0,-1915,-1368,39,7,063a,04f7,0,-23,8194,0,00,1,1,1,0,0,0,1,0,-1386,-1651
168,168,0,-2046,-2,0,-1915,-1368,39,7,063a,04f7,0,-22,8194,0,00,1,1,1,0,0,0,1,0,830,-447
169,169,0,2,-2046,0,-1778,-1262,25,7,063a,04f7,0,-19,8194,0,00,1,1,1,0,0,0,1,0,2047,776
170,170,0,2,-2046,0,-1778,-1262,25,7,063a,04f7,0,-12,8194,0,00,1,1,1,0,0,0,1,0,1280,1171
171,171,0,2046,2,0,-1596,-1188,27,8,063a,04f7,0,-5,8194,0,00,1,1,1,0,0,0,1,0,-858,766
172,172,0,2046,2,0,-1596,-1188,27,8,063a,04f7,0,5,8194,0,00,1,1,1,0,0,0,1,0,-1480,-71
173,173,0,-2,2046,0,-1626,-941,23,8,063a,04f7,0,-36,8194,0,00,1,1,1,0,0,0,1,0,-1483,-956
174,174,0,-2,2046,0,-1626,-941,23,8,063a,04f7,0,3,8194,0,00,1,1,1,0,0,0,1,0,-1419,-1466
175,175,0,-2046,-2,0,-1223,-583,17,9,063a,04f7,0,32,8194,0,00,1,1,1,0,0,0,1,0,869,-410
176,176,0,-2046,-2,0,-1223,-583,17,9,063a,04f7,0,-11,8194,0,00,1,1,1,0,0,0,1,0,2047,718
177,177,0,2,-2046,0,-1082,-301,26,10,063a,04f7,0,-45,8194,0,00,1,1,1,0,0,0,1,0,1490,1193
178,178,0,2,-2046,0,-1082,-301,26,10,063a,04f7,0,-4,8194,0,00,1,1,1,0,0,0,1,0,73,737
179,179,0,2046,2,0,-427,493,17,10,063a,04f7,0,19,8194,0,00,1,1,1,0,0,0,1,0,-753,69
180,180,0,2046,2,0,-427,493,17,10,063a,04f7,0,-36,8194,0,00,1,1,1,0,0,0,1,0,-1334,-22
181,181,0,-2,2046,0,12,718,16,9,063a,04f7,0,-27,8194,0,00,1,1,1,0,0,0,1,0,-1537,-837
182,182,0,-2,2046,0,12,718,16,9,063a,04f7,0,-19,8194,0,00,1,1,1,0,0,0,1,0,-1303,-1538
183,183,0,-2046,-2,0,509,1415,-1,8,063a,04f7,0,-9,8194,0,00,1,1,1,0,0,0,1,0,-1303,-1538
184,184,0,-2046,-2,0,509,1415,-1,8,063a,04f7,0,-3,8194,0,00,1,1,1,0,0,0,1,0,723,-425
185,185,0,2,-2046,0,998,1552,-8,6,fa0a,fcac,1,-5,8194,0,00,1,1,1,0,0,0,0,1,2047,769
186,186,0,2,-2046,0,998,1552,-8,6,fa0a,fcac,0,-15,8191,1,11,1,1,1,0,1,3,0,0,1320,1180
187,187,0,2046,2,0,1336,1819,-27,3,fa0a,fcac,0,40,8191,1,11,1,1,1,0,1,3,0,0,-855,731
188,188,0,2046,2,0,1336,1819,-27,3,fa0a,fcac,0,31,8191,1,11,1,1,1,0,1,3,0,0,-1478,-50
189,189,0,-2,2046,0,1584,1926,-22,0,fa0a,fcac,0,10,8191,1,11,1,1,1,0,1,3,0,0,-1499,-925
190,190,0,-2,2046,0,1584,1926,-22,0,fa0a,fcac,0,-21,8191,1,11,1,1,1,0,1,3,0,0,-1482,-1468
191,191,0,2046,2,0,1743,2193,-24,-4,fa0a,fcac,0,14,8191,1,11,1,1,1,0,1,3,0,0,920,-424
192,192,0,2046,2,0,1743,2193,-24,-4,fa0a,fcac,0,-3,8191,1,11,1,1,1,0,1,3,0,0,2047,709
193,193,0,-2,2046,0,1820,2228,-19,-8,fa0a,fcac,0,-30,8191,1,11,1,1,1,0,1,3,0,0,1476,1193
194,194,0,-2,2046,0,1820,2228,-19,-8,fa0a,fcac,0,0,8191,1,11,1,1,1,0,1,3,0,0,366,648
195,195,0,-2046,-2,0,1892,2200,-28,-12,fa0a,fcac,0,-20,8191,1,11,1,1,1,0,1,3,0,0,1465,-639
196,196,0,-2046,-2,0,1892,2200,-28,-12,fa0a,fcac,0,35,8191,1,11,1,1,1,0,1,3,0,0,2047,-318
197,197,0,2,-2046,0,1868,2199,-26,-15,fa0a,fcac,0,24,8191,1,11,1,1,1,0,1,3,0,0,1401,1154
198,198,0,2,-2046,0,1868,2199,-26,-15,fa0a,fcac,0,15,8191,1,11,1,1,1,0,1,3,0,0,83,927
199,199,0,2046,2,0,1702,2085,-20,-16,fa0a,fcac,0,9,8191,1,11,1,1,1,0,1,3,0,0,83,927
200,200,0,2046,2,0,1702,2085,-20,-16,fa0a,fcac,0,3,8191,1,11,1,1,1,0,1,3,0,0,-754,42
201,201,0,-2,2046,0,1717,2055,-21,-17,fa0a,fcac,0,5,8191,1,11,1,1,1,0,1,3,0,0,-1442,-109
202,202,0,-2,2046,0,1717,2055,-21,-17,fa0a,fcac,0,22,8191,1,11,1,1,1,0,1,3,0,0,-1297,-655
