Sample in Buffer,Sample in Window,TRIGGER,tsm_I_1[11:0],tsm_Q_1[11:0],tsm_I[11:0],tsm_Q[11:0],rev_I[11:0],rev_Q[11:0],rev_valid_1,rev_valid_2,rev_valid_3,rev_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX
6701,6701,0,ffe,7fe,ffe,7fe,1262,1086,1,1,1,1
6702,6702,0,802,ffe,802,ffe,120,842,1,1,1,1
6703,6703,0,802,ffe,802,ffe,-669,43,1,1,1,1
6704,6704,0,002,802,002,802,-1199,-66,1,1,1,1
6705,6705,0,002,802,002,802,-1416,-719,1,1,1,1
6706,6706,0,7fe,002,7fe,002,-1164,-1313,1,1,1,1
6707,6707,0,7fe,002,7fe,002,749,-358,1,1,1,1
6708,6708,0,ffe,7fe,ffe,7fe,2047,713,1,1,1,1
6709,6709,0,ffe,7fe,ffe,7fe,1347,1107,1,1,1,1
6710,6710,0,802,ffe,802,ffe,83,652,1,1,1,1
6711,6711,0,802,ffe,802,ffe,-677,69,1,1,1,1
6712,6712,0,002,802,002,802,-1202,-25,1,1,1,1
6713,6713,0,002,802,002,802,-1435,-718,1,1,1,1
6714,6714,0,7fe,002,7fe,002,-1168,-1323,1,1,1,1
6715,6715,0,7fe,002,7fe,002,750,-333,1,1,1,1
6716,6716,0,ffe,7fe,ffe,7fe,2047,723,1,1,1,1
