Sample in Buffer,Sample in Window,TRIGGER,tsm_I_1[11:0],tsm_Q_1[11:0],tsm_I[11:0],tsm_Q[11:0],rev_I[11:0],rev_Q[11:0],rev_valid_1,rev_valid_2,rev_valid_3,rev_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX
6410,6410,0,802,ffe,802,ffe,-1438,-1343,1,1,1,1
6411,6411,0,802,ffe,802,ffe,-1236,-368,1,1,1,1
6412,6412,0,002,802,002,802,-1065,384,1,1,1,1
6413,6413,0,002,802,002,802,-1360,-641,1,1,1,1
6414,6414,0,7fe,002,7fe,002,-1193,-1386,1,1,1,1
6415,6415,0,7fe,002,7fe,002,759,-356,1,1,1,1
6416,6416,0,ffe,7fe,ffe,7fe,2047,706,1,1,1,1
6417,6417,0,ffe,7fe,ffe,7fe,1317,1107,1,1,1,1
6418,6418,0,802,ffe,802,ffe,102,660,1,1,1,1
6419,6419,0,802,ffe,802,ffe,-673,42,1,1,1,1
6420,6420,0,002,802,002,802,-1217,-8,1,1,1,1
6421,6421,0,002,802,002,802,-1404,-688,1,1,1,1
6422,6422,0,7fe,002,7fe,002,-1169,-1328,1,1,1,1
6423,6423,0,7fe,002,7fe,002,772,-364,1,1,1,1
6424,6424,0,ffe,7fe,ffe,7fe,2047,732,1,1,1,1
6425,6425,0,ffe,7fe,ffe,7fe,1321,1090,1,1,1,1
6426,6426,0,802,ffe,802,ffe,63,648,1,1,1,1
6427,6427,0,802,ffe,802,ffe,-657,88,1,1,1,1
6428,6428,0,002,802,002,802,-1204,-42,1,1,1,1
6429,6429,0,002,802,002,802,-1406,-708,1,1,1,1
6430,6430,0,802,ffe,802,ffe,-1156,-1279,1,1,1,1
6431,6431,0,802,ffe,802,ffe,761,-365,1,1,1,1
6432,6432,0,002,802,002,802,2047,700,1,1,1,1
6433,6433,0,002,802,002,802,1357,1112,1,1,1,1
6434,6434,0,7fe,002,7fe,002,54,666,1,1,1,1
6435,6435,0,7fe,002,7fe,002,-687,76,1,1,1,1
6436,6436,0,ffe,7fe,ffe,7fe,-1194,-14,1,1,1,1
6437,6437,0,ffe,7fe,ffe,7fe,-1416,-715,1,1,1,1
